Laptop,Status,Brand,Country_code,Model,CPU,RAM,Storage,Storage type,Screen,Touch,Price
"HP 15S-EQ2130NS AMD Ryzen 5 5500U/8GB/512GB SSD/15.6""",New,HP,NC,15S,AMD Ryzen 5,8,512,SSD,15.6,No,652.92
"HP 15S-EQ2134NS AMD Ryzen 5 5500U/8GB/512GB SSD/15.6""",New,HP,NE,15S,AMD Ryzen 5,8,512,SSD,15.6,No,538.98
"HP 15S-FQ0023NS Intel Celeron N4120/8GB/256GB SSD/15.6""",New,HP,NF,15S,Intel Celeron,8,256,SSD,15.6,No,335.28
"HP 15S-FQ2029NS Intel Core i5-1135G7/8GB/512GB SSD/15.6""",New,HP,NG,15S,Intel Core i5,8,512,SSD,15.6,No,885.9
"HP 15S-FQ2134NS Intel Core i3-1115G4/8GB/512GB SSD/15.6""",New,HP,NI,15S,Intel Core i3,8,512,SSD,15.6,No,451.46
"HP 15S-FQ2150NS Intel Core i3-1115G4/8GB/256GB SSD/15.6""",New,HP,NL,15S,Intel Core i3,8,256,SSD,15.6,No,378.94
"HP 15S-FQ2162NS Intel Core i3-1115G4/8GB/512GB SSD/15.6""",New,HP,NO,15S,Intel Core i3,8,512,SSD,15.6,No,646.39
"HP 15S-FQ3003NS Intel Celeron N4500/8GB/512GB SSD/15.6""",New,HP,NP,15S,Intel Celeron,8,512,SSD,15.6,No,517.01
"HP 15S-FQ3014NS Intel Celeron N4500/8GB/256GB SSD/15.6""",New,HP,NR,15S,Intel Celeron,8,256,SSD,15.6,No,354
"HP 15S-FQ3018NS Intel Celeron N4500/8GB/256GB SSD/15.6""",New,HP,NU,15S,Intel Celeron,8,256,SSD,15.6,No,403.83
"HP 15S-FQ4038NS Intel Core i5-1155G7/8GB/512GB SSD/15.6""",New,HP,NZ,15S,Intel Core i5,8,512,SSD,15.6,No,623.66
"HP 15S-FQ4048NS Intel Core i5-1155G7/8GB/512GB SSD/15.6""",New,HP,OM,15S,Intel Core i5,8,512,SSD,15.6,No,521.75
